I260425 10:51:12.003833 1621 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 16  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:12.049732 1828 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 17  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:12.060419 845 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r10/1:/Table/{5-6},rangefeed] 18  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:12.531156 1014 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r73/1:/Table/7{0-1},raft] 19  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114278.482641805,0 pro=1777114272.482641805,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114278.482641805,0 pro=1777114272.482641805,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114278.482641805,0 pro=1777114272.482641805,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114278.482641805,0 pro=1777114272.482641805,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:12.656184 1029 15@kv/kvserver/kvserverbase/forced_error.go:87 ⋮ [T1,Vsystem,n1,s1,r26/1:/Table/2{2-3},raft] 20  rejected lease request repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114278.604255027,0 pro=1777114272.604255027,0 acq=Request; current lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114278.604255027,0 pro=1777114272.604255027,0 acq=Request; err: cannot replace lease repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114278.604255027,0 pro=1777114272.604255027,0 acq=Request with repl=(n1,s1):1 seq=1 start=0,0 type=LeaseExpiration exp=1777114278.604255027,0 pro=1777114272.604255027,0 acq=Request: ‹proposed under invalid lease›
I260425 10:51:12.747073 2379 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r36/1:/Table/3{2-3},rangefeed] 21  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:12.747081 2404 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r8/1:/Table/{3-4},rangefeed] 22  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:13.220235 2564 15@kv/kvserver/liveness/storage.go:212 ⋮ [T1,Vsystem,n1] 23  created liveness record for n2
I260425 10:51:13.313778 2523 15@kv/kvserver/liveness/storage.go:212 ⋮ [T1,Vsystem,n1] 24  created liveness record for n3
I260425 10:51:13.915423 967 15@kv/kvserver/storeliveness/support_manager.go:331 ⋮ [T1,Vsystem,n1,s1] 25  starting to heartbeat store {NodeID:2 StoreID:2}
I260425 10:51:13.973436 2878 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r24/1:/Table/2{0-1},rangefeed] 26  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:13.973491 2880 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r24/1:/Table/2{0-1},rangefeed] 27  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:13.977077 967 15@kv/kvserver/storeliveness/requester_state.go:425 ⋮ [T1,Vsystem,n1,s1] 28  received support from store {NodeID:2 StoreID:2}; old = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:0,0}, new = {Target:{NodeID:2 StoreID:2} Epoch:1 Expiration:1777114276.915448185,0}
I260425 10:51:14.041835 2849 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r53/1:/Table/5{0-1},rangefeed] 29  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.042917 3163 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r79/1:/Table/7{6-7},rangefeed] 30  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.047779 3210 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r13/1:/Table/{8-9},rangefeed] 31  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.050884 3243 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r79/1:/Table/7{6-7},rangefeed] 32  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.054684 3167 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r53/1:/Table/5{0-1},rangefeed] 33  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.061990 3282 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r13/1:/Table/{8-9},rangefeed] 34  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
I260425 10:51:14.073778 3288 15@kv/kvserver/rangefeed/unbuffered_registration.go:305 ⋮ [T1,Vsystem,n1,s1,r61/1:/Table/5{8-9},rangefeed] 35  no non-empty checkpoint found in 1 event(s) before transitioning to buffered sender
